Name,Total Surface Area,Crop Land,Range Land,Forest Land
Alabama,33424,2506.8,66.848,21525.056
Arizona,72964,948.532,32250.088,4158.948
Arkansas,34037,7522.177,34.037,15010.317
California,101510,9440.43,17764.25,13906.87
Colorado,66625,8328.125,24784.5,3264.625
Connecticut,3195,172.53,0,1706.13
Delaware,1534,457.132,0,340.548
Florida,37534,2890.118,2702.448,12724.026
Georgia,37741,4151.51,0,21889.78
Idaho,53488,5455.776,6418.56,4011.6
Illinois,36059,23979.235,0,3966.49
Indiana,23158,13315.85,0,3821.07
Iowa,36017,25500.036,0,2305.088
Kansas,52661,26488.483,15850.961,1527.169
Kentucky,25863,5482.956,0,10500.378
Louisiana,31377,5428.221,282.393,13335.225
Maine,20966,377.388,0,17611.44
Maryland,7870,1518.91,0,2368.87
Massachusets,5339,250.933,0,2664.161
Michigan,37349,8104.733,0,16695.003
Minnesota,54010,21117.91,0,16365.03
Mississippi,30527,4975.901,0,16759.323
Missouri,44614,13696.498,89.228,12536.534
Montana,94110,14492.94,36702.9,5364.27
Nebraska,49510,19556.45,23071.66,792.16
Nevada,70763,636.867,8279.271,283.052
New Hampshire,5941,124.761,0,3897.296
New Jersey,5216,526.816,0,1606.528
New Mexico,77823,1556.46,39923.199,5447.61
New York,31361,5362.731,0,17593.521
North Carolina,33709,5528.276,0,15472.431
North Dakota,45251,24254.536,11086.495,452.51
Ohio,26445,11239.125,0,7219.485
Oklahoma,44738,8992.338,14137.208,7381.77
Oregon,62161,3729.66,9386.311,12743.005
Pennsylvania,28995,5132.115,0,15628.305
Rhode Island,813,20.325,0,373.167
South Carolina,19939,2372.741,0,11165.84
South Dakota,49358,17077.868,22063.026,493.58
Tennessee,26974,4747.424,0,11949.482
Texas,171052,25486.748,96131.224,10605.224
Utah,54339,1684.509,10650.444,1901.865
Vermont,6154,584.63,0,4129.334
Virginia,27087,2871.222,0,13191.369
Washington,44035,6473.145,5856.655,12726.115
West Virginia,15508,821.924,0,10560.948
Wisconsin,35920,10309.04,0,14511.68
Wyoming,62603,2191.105,27545.32,939.045